Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-036190,2018-08,08/04/2018 21:24,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5301,DR MARTIN LUTHER KING DR,50, , , , ,886493.4,1031515
18-036193,2018-08,08/04/2018 21:45,Y, , ,1, , 82000,6,ARSON-2ND DEGREE/SUCCESS,5437,PLOVER AVE,72, , , , ,892023.9,1043857
18-036191,2018-08,08/04/2018 22:00,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,N BROADWAY / MALLINCKRODT ST,64, , , , ,907286.6,1029904
18-036244,2018-08,08/04/2018 22:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3530,BAMBERGER AVE,15, , ,3530,BAMBERGER,892069.3,1004990
18-036240,2018-08,08/04/2018 22:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4427,EVANS AVE,58, , ,4427,EVANS,892758.2,1027569
18-036319,2018-08,08/04/2018 22:00,Y, , ,1, , 51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1014,LOCUST ST,35, , ,1014,LOCUST,907293.9,1018316
18-036208,2018-08,08/04/2018 22:20,Y, , ,1, , 41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3231,DAKOTA ST,16, ,RESIDENCE,3231,DAKOTA,893935.8,998432.6
18-036202,2018-08,08/04/2018 22:20,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,811,BATES ST,1, , ,811,BATES,891588,995294
18-036202,2018-08,08/04/2018 22:20,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,811,BATES ST,1, , ,811,BATES,891588,995294
18-036202,2018-08,08/04/2018 22:20,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,811,BATES ST,1, , ,811,BATES,891588,995294
18-036202,2018-08,08/04/2018 22:20,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,811,BATES ST,1, , ,811,BATES,891588,995294
18-036202,2018-08,08/04/2018 22:20,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,811,BATES ST,1, , ,811,BATES,891588,995294
18-036202,2018-08,08/04/2018 22:20,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,811,BATES ST,1, , ,811,BATES,891588,995294
18-036202,2018-08,08/04/2018 22:20,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,811,BATES ST,1, , ,811,BATES,891588,995294
18-036314,2018-08,08/04/2018 22:30,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1819,S 8TH ST,21, , ,1819,8TH,905048.3,1010718
18-036207,2018-08,08/04/2018 22:30,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,5204,HAMPTON AVE,7, , ,5204,HAMPTON,879457,1001536
18-036211,2018-08,08/04/2018 22:40,Y, , ,1, , 51230,5,BURGLARY-RESIDENCE/NIT/ATT FORCE ENTRY,5355,PAGE BLVD,48,ANNIE MALONE, ,5355,PAGE,884665.8,1030060
18-036201,2018-08,08/04/2018 22:42,Y, , ,1, ,266510,2,PUBLIC ORDER-TRESPASSING,3153,S KINGSHIGHWAY BLVD,13,@COURTESY DINER,@COURTESY DINER,3165,KINGSHIGHWAY,886079.8,1008755
18-036214,2018-08,08/04/2018 23:20,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,S LEONOR K SULLIVAN BLVD / WAS,35, , , , ,911031.3,1018131
18-036209,2018-08,08/04/2018 23:23,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4498,DR MARTIN LUTHER KING DR,54, ,DR MARTIN LUTHER KING @ TAYLOR, , ,891773.9,1028684
18-036693,2018-08,08/04/2018 23:24,Y, , ,1, , 52212,6,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,7901,N BROADWAY,74,MESS PAT S DAYCARE, ,7901,BROADWAY,897093.2,1046554
18-036213,2018-08,08/04/2018 23:30,Y, , ,1, , 31111,2,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3720,S UTAH PL,15, , ,3720,UTAH,892712.8,1006361
18-036219,2018-08,08/05/2018 00:28,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2700,CHEROKEE ST,19, , , , ,897951.9,1005002
18-036227,2018-08,08/05/2018 00:30,Y, , ,1, , 51222,6,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,6165,SHERRY AVE,76, , ,6165,SHERRY,888254.9,1044850
18-036217,2018-08,08/05/2018 00:48,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,PAGE BLVD / N SARAH ST,58, , , , ,894864,1025952
18-036216,2018-08,08/05/2018 00:48,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,HARNEY AVE / UNION BLVD,71, , , , ,893871.1,1041446
18-036218,2018-08,08/05/2018 00:49,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,200,N TUCKER BLVD,35, , ,220,TUCKER,906567.2,1018060
18-036313,2018-08,08/05/2018 01:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3905,BOTANICAL AVE,27, , ,3905,BOTANICAL,892615.8,1010876
18-036250,2018-08,08/05/2018 01:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1815,OFALLON ST,61, , ,1815,OFALLON,905421.5,1022269
18-036280,2018-08,08/05/2018 01:00,Y, , ,1, , 73413,3,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,2341,RUSSELL AVE,23, , ,2341,RUSSELL,899834.3,1011517
18-036266,2018-08,08/05/2018 01:15,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,200,S 10TH ST,35,TIN ROOF,SOUTHWEST CORNER OF 10TH AND CLARK,1187,HODIAMONT,907231.4,1016587
18-036265,2018-08,08/05/2018 01:20,Y, , ,1, , 71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,3854,FOLSOM AVE,29, , ,3854,FOLSOM,893356.9,1014734
18-036220,2018-08,08/05/2018 01:30,Y, , ,1, ,266510,2,PUBLIC ORDER-TRESPASSING,4014,CHOUTEAU AVE,39,U HAUL, , , ,892061.8,1017586
18-036239,2018-08,08/05/2018 01:37,Y, , ,1, , 52212,6,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,8393,HALL ST,74,PROTRUCK INC,BUSINESS,8393,HALL,897895.8,1049051
18-036221,2018-08,08/05/2018 01:40,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,BENTON ST / N BROADWAY,64, , , , ,908794.7,1026050
18-036245,2018-08,08/05/2018 01:50,Y, , ,1, ,211000,1,DUI-DRVING WHILE INTOXICATED,4908,SUTHERLAND AVE,7, , , , ,884311.6,1003194
18-036228,2018-08,08/05/2018 01:53,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,701,N SPRING AVE,77, ,@CARDINAL RITTER HIGH SCHOOL, , ,896066.6,1022725
18-036226,2018-08,08/05/2018 02:08,Y, , ,1, , 38111,1,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,5419,GERTRUDE AVE,5, , ,5419,GERTRUDE,885507.7,999780.6
18-036225,2018-08,08/05/2018 02:10,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,902,S BROADWAY,35,BP GAS STATION, , , ,907974,1013926
18-036230,2018-08,08/05/2018 02:25,Y, , ,1, ,182250,2,DRUGS-POSSESSION/COCAINE,0,ALFRED AVE / RUSSELL BLVD,87, , , , ,888647.1,1012850
18-036243,2018-08,08/05/2018 02:43,Y, , ,1, ,152200,2,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5600,DEVONSHIRE AVE,7, , , , ,880707.9,1003013
18-036229,2018-08,08/05/2018 02:46,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,CARTER AVE / N GRAND BLVD,67, , , , ,902483.9,1032209
18-036231,2018-08,08/05/2018 02:57,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,1807,GRAVOIS AVE,23, ,@JACK IN THE BOX - GRAVOIS, , ,902130.3,1010504
18-036348,2018-08,08/05/2018 03:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4320,WALLACE AVE,5, , , , ,886593.6,1000994
18-036330,2018-08,08/05/2018 03:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,S 7TH ST / RUSSELL BLVD,20, , , , ,905000.3,1009683
18-036232,2018-08,08/05/2018 03:13,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,3774,CHIPPEWA ST,16, , , , ,891800.9,1003261
18-036233,2018-08,08/05/2018 03:25,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,ARSENAL ST / I 55 SOUTHBOUND,22, , , , ,901454.8,1006277
18-036238,2018-08,08/05/2018 04:04,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,935,HOLLY HILLS AVE,1, , , , ,889722.3,993283.6
18-036247,2018-08,08/05/2018 04:40,Y, , ,1, , 31421,2,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3601,GRAVOIS AVE,15, , ,4545,VARRELMANN,893304.5,1004727
18-036268,2018-08,08/05/2018 06:30,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,1451,N KINGSHIGHWAY BLVD,51, , ,1020,14TH,888171.9,1030307
18-036248,2018-08,08/05/2018 06:30,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3746,DUNNICA AVE,16, ,APT A,3746,DUNNICA,892017.3,1002854
18-036253,2018-08,08/05/2018 07:50,Y, , ,1, ,266510,3,PUBLIC ORDER-TRESPASSING,3400,S GRAND BLVD,25, , , , ,893643.6,1005881
18-037460,2018-08,08/05/2018 08:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",3851,DUNNICA AVE,16, , ,3851,DUNNICA,891213.3,1003174
18-037119,2018-08,08/05/2018 08:00,Y, , ,1, , 72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,5333,BULWER AVE,64, , ,5333,BULWER,903321.9,1036597
18-036581,2018-08,08/05/2018 08:41,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,315,N 10TH ST,35,LOFTS@315, ,315,10TH,907440.4,1018277
18-036254,2018-08,08/05/2018 08:44,Y, , ,1, ,250000,2,LOITERING-BEGGING,0,I 64 EASTBOUND / S KINGSHIGHWA,40, ,ALIAS S KINGSHWY BLVD/I 64 EASTBOUND, , ,887218.9,1018721
18-036294,2018-08,08/05/2018 09:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2607,N 14TH ST,63, , ,2607,14TH,906633.6,1025648
18-036430,2018-08,08/05/2018 09:00,Y, , ,1, , 71030,4,AUTO THEFT-PERM RETNT/JOY RIDE,707,PINE ST,35,CENTRAL DOWNTOWN GARAGE, , , ,908248.7,1017645
18-036396,2018-08,08/05/2018 09:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",0,COTE BRILLIANTE AVE / N GRAND,59, , , , ,898773.7,1025553
18-039109,2018-08,08/05/2018 09:00,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3011,MIAMI ST,19, , ,3011,MIAMI,896062.6,1004157
18-036259,2018-08,08/05/2018 09:32,Y, , ,1, ,229999,3,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,3400,S GRAND BLVD,25, , ,3400,GRAND,893643.6,1005881
18-036269,2018-08,08/05/2018 09:35,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,1936,WARREN ST,60, ,RESIDENCE,1936,WARREN,905012.5,1025261
18-036261,2018-08,08/05/2018 09:50,Y, , ,1, ,229999,3,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,3400,S GRAND BLVD,25, , ,3400,GRAND,893643.6,1005881
18-036293,2018-08,08/05/2018 10:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,100,N LEONOR K SULLIVAN BLVD,35, , ,100,LEONOR K SULLIVAN,911148.3,1018927
18-036274,2018-08,08/05/2018 10:00,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5901,DELMAR BLVD,48, , ,5901,DELMAR,879907.7,1027391
18-036270,2018-08,08/05/2018 10:00,Y, , ,1, , 51112,1,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3912,DUNNICA AVE,16, , ,3912,DUNNICA,890916.1,1002998
18-036274,2018-08,08/05/2018 10:00,Y, , ,1, , 42011,5,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,5901,DELMAR BLVD,48, , ,5901,DELMAR,879907.7,1027391
18-036329,2018-08,08/05/2018 10:15,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",201,S SKINKER BLVD,45, , ,201,SKINKER,876607.7,1023267
18-036305,2018-08,08/05/2018 10:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,BIDDLE ST / N LEONOR K SULLIVA,64, , , , ,911184.4,1020319
18-036343,2018-08,08/05/2018 11:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 16TH ST / DELMAR BLVD,36, , ,701,15TH,905555.1,1019971
18-036284,2018-08,08/05/2018 11:00,Y, , ,1, , 41026,5,ASSLT-AGGRAV-FIREARM-3RD-CHILD-DOMESTIC,5902,HORTON PL,48, , ,1021,HAMILTON,880276.2,1030018
18-036284,2018-08,08/05/2018 11:00,Y, , ,1, , 41023,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE,5902,HORTON PL,48, , ,1021,HAMILTON,880276.2,1030018
18-037600,2018-08,08/05/2018 11:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,110,N 17TH ST,36, , ,110,17TH,904545.1,1018315
18-036284,2018-08,08/05/2018 11:00,Y, , ,1, , 41014,5,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,5902,HORTON PL,48, , ,1021,HAMILTON,880276.2,1030018
18-036283,2018-08,08/05/2018 11:12,Y, , ,1, ,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4027,ASHLAND AVE,56, , ,4027,ASHLAND,898089.1,1030459
18-036271,2018-08,08/05/2018 11:15,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5512,WELLS AVE,78, , , , ,884741.8,1031842
18-039694,2018-08,08/05/2018 11:35,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4230,MINNESOTA AVE,17,MARYVILLE GARDENS, ,4230,MINNESOTA,895674,999878.2
18-036290,2018-08,08/05/2018 11:35,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4230,MINNESOTA AVE,17, , ,4230,MINNESOTA,895674,999878.2
18-036277,2018-08,08/05/2018 11:44,Y, , ,1, ,250000,2,LOITERING-BEGGING,0,I 64 EASTBOUND / S KINGSHIGHWA,40, , , , ,887218.9,1018721
18-036279,2018-08,08/05/2018 11:45,Y, , ,1, ,182400,1,DRUGS-POSSESSION/MARIJUANA,4249,MICHIGAN AVE,17, , , , ,894746.1,999716.7
18-036362,2018-08,08/05/2018 11:58,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",500,PINE ST,35, , ,500,PINE,908732.9,1017197
18-036281,2018-08,08/05/2018 12:00,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,I 44 EASTBOUND / S KINGSHIGHWA,12, , , , ,886939.9,1014090
18-036412,2018-08,08/05/2018 12:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1300,CONVENTION PZ,36, , ,1300,CONVENTION,906779.9,1019635
18-040986,2018-08,08/05/2018 12:00,Y, , ,1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4515,ALICE AVE,68, , , , ,899700.4,1034108
18-036332,2018-08,08/05/2018 12:30,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",401,S 4TH ST,35,PREMIERE PARKING,PARKING LOT, , ,908773.8,1015571
18-036288,2018-08,08/05/2018 12:45,Y, , ,1, , 69703,6,LARCENY-ALL OTH/FRM PRSN/UNDER $500,0,NATURAL BRIDGE AVE / SHREVE AV,55, , ,4645,NATURAL BRIDGE,892780.4,1034268
18-036335,2018-08,08/05/2018 13:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,S 4TH ST / CLARK AVE,35, , , , ,908845.3,1015824
18-036421,2018-08,08/05/2018 13:00,Y, , ,1, , 71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,5032,LEONA ST,5, , ,5032,LEONA,888657.8,998985.6
18-036297,2018-08,08/05/2018 13:01,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,120,QUINCY ST,1, , ,120,QUINCY,890608.9,989976.6
18-036300,2018-08,08/05/2018 13:18,Y, , ,1, ,182130,4,DRUGS-POSSESSION/HEROIN,0,N FLORISSANT AVE / PENROSE ST,65, , , , ,903710.8,1031154
18-036298,2018-08,08/05/2018 13:30,Y, , ,1, ,182999,6,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5000,GOODFELLOW BLVD,76, , , , ,887882.4,1044387
18-036564,2018-08,08/05/2018 13:30,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",2608,CLIFTON AVE,11, , ,2608,CLIFTON,879019.1,1012590
18-036299,2018-08,08/05/2018 13:42,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,8430,HALL ST,79, , , , ,898344.4,1050289
18-036317,2018-08,08/05/2018 13:45,Y, , ,1, , 43026,4,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,1441,OFALLON ST,61, , ,1119,TUCKER,906561.6,1022276
18-036304,2018-08,08/05/2018 13:50,Y, , ,1, , 41016,1,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,5041,S GRAND BLVD,16, , ,5041,GRAND,891151,997253.9
18-036304,2018-08,08/05/2018 13:50,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5041,S GRAND BLVD,16, , ,5041,GRAND,891151,997253.9
18-036303,2018-08,08/05/2018 13:56,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,615,PINE ST,35, ,PARKING GARAGE, , ,908461,1017502
18-036295,2018-08,08/05/2018 14:00,Y, , ,1, ,250000,2,LOITERING-BEGGING,0,I 64 EASTBOUND / S KINGSHIGHWA,40, , , , ,887218.9,1018721
18-036859,2018-08,08/05/2018 14:00,Y, , ,1, , 66701,5,LARCENY-BICYCLES UNDER $500,722,EASTGATE AVE,48, ,APT 2W,722,EASTGATE,877117.1,1028313
18-036296,2018-08,08/05/2018 14:00,Y, , ,1, ,250000,2,LOITERING-BEGGING,0,I 64 EASTBOUND / S KINGSHIGHWA,40, , , , ,887218.9,1018721
18-036311,2018-08,08/05/2018 14:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1015,EICHELBERGER ST,1, , ,1015,EICHELBERGER,891412.1,996380.5
18-040356,2018-08,08/05/2018 14:30,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,4980,PARKER AVE,14, , ,4980,PARKER,884701.4,1007014
18-036508,2018-08,08/05/2018 14:51,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,282,N SKINKER BLVD,46,ZZA PIZZA, ,282,SKINKER,877125.9,1025422
18-037360,2018-08,08/05/2018 15:00,Y, , ,1, , 52312,1,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,227,BOWEN ST,1, , ,227,BOWEN,892296.9,992430.7
18-036352,2018-08,08/05/2018 15:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 17TH ST / WASHINGTON AVE,36, , , , ,904911.7,1019572
18-036306,2018-08,08/05/2018 15:00,Y, , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,3230,GRAVOIS AVE,30, , ,3230,GRAVOIS,895460.3,1006496
18-036324,2018-08,08/05/2018 15:15,Y, , ,1, , 31421,4,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1515,N 13TH ST,60, ,SALAMA S MARKET,800,TUCKER,907555.6,1022698
18-036310,2018-08,08/05/2018 15:51,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4546,SAINT FERDINAND AVE,56, , ,4546,SAINT FERDINAND,892551,1030139
18-036369,2018-08,08/05/2018 16:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,N 17TH ST / WASHINGTON AVE,36, , , , ,904911.7,1019572
18-036478,2018-08,08/05/2018 16:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3529,ARSENAL ST,25, , ,3529,ARSENAL,894219.9,1008437
18-040382,2018-08,08/05/2018 16:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,2738,CHARITON ST,17, , ,3726,COOK,896680.4,999205.9
18-036315,2018-08,08/05/2018 16:15,Y, , ,1, , 43012,1,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,8605,S BROADWAY,2, , ,8605,BROADWAY,887017.4,985695.9
18-036316,2018-08,08/05/2018 16:16,Y, , ,1, ,182400,3,DRUGS-POSSESSION/MARIJUANA,3173,ARKANSAS AVE,25, , , , ,894473.6,1007706
18-036325,2018-08,08/05/2018 16:21,Y, , ,1, , 52122,6,BURGLARY-BUSINESS/DAY/UNLAW ENT/UNOCCUPIED,8934,RIVERVIEW DR,74, ,CREATIVE CUSTOMS,8934,RIVERVIEW,898266.9,1053467
18-036543,2018-08,08/05/2018 17:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,2600,CHOUTEAU AVE,31,QUIKTRIP, ,2600,CHOUTEAU,900507.7,1015458
18-036346,2018-08,08/05/2018 17:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,S 7TH ST / CERRE ST,35,BUSCH STADIUM PARKING LOT A,LOT A, , ,907582.9,1015102
18-036326,2018-08,08/05/2018 17:22,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,4105,CALIFORNIA AVE,16, , ,4105,CALIFORNIA,896536.6,1000527
18-036337,2018-08,08/05/2018 17:45,Y, , ,1, , 66701,4,LARCENY-BICYCLES UNDER $500,315,N 9TH ST,35, , , , ,907779.2,1018012
18-036445,2018-08,08/05/2018 18:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,N 6TH ST / PINE ST,35, , , , ,908649,1017426
18-037764,2018-08,08/05/2018 18:00,Y, , ,1, ,264100,4,HEALTH-SANITATION VIOL,1114,MALLINCKRODT ST,65, , ,1114,MALLINCKRODT,906481.5,1029501
18-036578,2018-08,08/05/2018 18:00,Y, , ,1, , 66701,5,LARCENY-BICYCLES UNDER $500,5600,PERSHING AVE,47, , ,5600,PERSHING,882158.1,1024891
18-036338,2018-08,08/05/2018 18:20,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,GASCONADE ST / OREGON AVE,16, , , , ,896412.5,1000752
18-036334,2018-08,08/05/2018 18:30,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,5911,S BROADWAY,1, , ,5911,BROADWAY,893260.5,992645.8
18-036765,2018-08,08/05/2018 19:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4844,PENNSYLVANIA AVE,17, , ,4844,PENNSYLVANIA,894926.9,995750.1
18-036485,2018-08,08/05/2018 19:00,Y, , ,1, , 69711,4,LARCENY-ALL OTHER UNDER $500  /ATTEMPT,3010,WASHINGTON AVE,37, , ,3010,WASHINGTON,899561.6,1020746
18-036342,2018-08,08/05/2018 19:15,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",6133,VIRGINIA AVE,1, ,VICTIM S RESIDENCE,6133,VIRGINIA,891553.2,993062
18-036517,2018-08,08/05/2018 19:30,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6830,MAGNOLIA AVE,10, , ,6830,MAGNOLIA,875471.1,1012412
18-036505,2018-08,08/05/2018 19:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4170,FARLIN AVE,68, , ,4170,FARLIN,897541.6,1032969
18-036347,2018-08,08/05/2018 19:49,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5750,NATURAL BRIDGE AVE,50,GULF GAS STATION, , , ,885556.4,1038533
18-036347,2018-08,08/05/2018 19:49,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5750,NATURAL BRIDGE AVE,50,GULF GAS STATION, , , ,885556.4,1038533
18-036347,2018-08,08/05/2018 19:49,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5750,NATURAL BRIDGE AVE,50,GULF GAS STATION, , , ,885556.4,1038533
18-036347,2018-08,08/05/2018 19:49,Y, , ,1, , 41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,5750,NATURAL BRIDGE AVE,50,GULF GAS STATION, , , ,885556.4,1038533
18-036347,2018-08,08/05/2018 19:49,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5750,NATURAL BRIDGE AVE,50,GULF GAS STATION, , , ,885556.4,1038533
18-036347,2018-08,08/05/2018 19:49,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5750,NATURAL BRIDGE AVE,50,GULF GAS STATION, , , ,885556.4,1038533
18-036402,2018-08,08/05/2018 20:00,Y, , ,1, , 83000,4,ARSON-KNOWINGLY BURNING/SUCCESS,3942,N 20TH ST,65, , ,3942,20TH,904708.4,1030571
18-036402,2018-08,08/05/2018 20:00,Y, , ,1, , 71030,4,AUTO THEFT-PERM RETNT/JOY RIDE,3942,N 20TH ST,65, , ,3942,20TH,904708.4,1030571
